date,season,TotalFluPositive,mean_temp,total_precip,total_snow
2016-05-16,2015-2016,357.0,14.642857142857142,2.9,0.0
2016-05-23,2015-2016,194.0,22.52857142857143,2.7,0.0
2016-05-30,2015-2016,120.0,20.714285714285715,22.4,0.0
2016-06-06,2015-2016,55.0,16.757142857142856,10.0,0.0
2016-06-13,2015-2016,25.0,20.142857142857142,1.3,0.0
2016-06-20,2015-2016,24.0,22.5,2.0,0.0
2016-06-27,2015-2016,13.0,21.385714285714283,3.8,0.0
2016-07-04,2015-2016,12.0,24.557142857142857,7.5,0.0
2016-07-11,2015-2016,10.0,23.12857142857143,10.1,0.0
2016-07-18,2015-2016,18.0,24.75714285714286,0.0,0.0
2016-07-25,2015-2016,7.0,24.3,29.7,0.0
2016-08-01,2015-2016,9.0,24.900000000000002,0.0,0.0
2016-08-08,2015-2016,8.0,26.035714285714285,19.2,0.0
2016-08-15,2015-2016,13.0,23.935714285714287,21.799999999999997,0.0
2016-08-22,2015-2016,13.0,23.37142857142857,12.4,0.0
2016-08-29,2016-2017,2.0,20.885714285714283,0.3,0.0
2016-09-05,2016-2017,18.0,24.114285714285717,38.2,0.0
2016-09-12,2016-2017,23.0,19.314285714285713,10.9,0.0
2016-09-19,2016-2017,44.0,18.435714285714287,0.2,0.0
2016-09-26,2016-2017,63.0,16.5,17.2,0.0
2016-10-03,2016-2017,56.0,16.342857142857145,2.7,0.0
2016-10-10,2016-2017,42.0,13.514285714285714,1.4,0.0
2016-10-17,2016-2017,71.0,13.014285714285714,12.100000000000001,0.0
2016-10-24,2016-2017,95.0,7.228571428571429,10.2,0.0
2016-10-31,2016-2017,139.0,10.62857142857143,25.2,0.0
2016-11-07,2016-2017,194.0,8.628571428571428,0.8,0.0
2016-11-14,2016-2017,202.0,8.142857142857142,5.9,0.0
2016-11-21,2016-2017,254.0,2.9285714285714284,10.4,0.0
2016-11-28,2016-2017,373.0,6.314285714285715,10.9,0.0
2016-12-05,2016-2017,569.0,0.0285714285714286,23.1,0.0
2016-12-12,2016-2017,783.0,-4.614285714285714,22.599999999999998,0.0
2016-12-19,2016-2017,1303.0,-0.6714285714285715,5.5,0.0
2016-12-26,2016-2017,1952.0,1.3142857142857143,24.1,0.0
2017-01-02,2016-2017,2837.0,-4.385714285714285,11.9,0.0
2017-01-09,2016-2017,3677.0,-0.6,38.2,0.0
2017-01-16,2016-2017,2814.0,2.914285714285714,13.9,0.0
2017-01-23,2016-2017,2602.0,1.0,6.300000000000001,0.0
2017-01-30,2016-2017,2582.0,-3.4285714285714284,3.0,0.0
2017-02-06,2016-2017,2515.0,-1.5285714285714285,34.900000000000006,0.0
2017-02-13,2016-2017,2540.0,0.6714285714285714,0.0,0.0
2017-02-20,2016-2017,2388.0,5.0,11.6,0.0
2017-02-27,2016-2017,2078.0,-0.8714285714285713,20.599999999999998,0.0
2017-03-06,2016-2017,1745.0,-0.4571428571428573,9.799999999999999,0.0
2017-03-13,2016-2017,1231.0,-2.685714285714286,5.4,0.0
2017-03-20,2016-2017,1060.0,2.142857142857143,16.2,0.0
2017-03-27,2016-2017,904.0,6.7,22.2,0.0
2017-04-03,2016-2017,778.0,6.857142857142857,46.1,0.0
2017-04-10,2016-2017,615.0,11.514285714285714,5.1,0.0
2017-04-17,2016-2017,582.0,9.157142857142857,24.5,0.0
2017-04-24,2016-2017,469.0,11.242857142857144,31.0,0.0
2017-05-01,2016-2017,399.0,8.700000000000001,76.5,0.0
2017-05-08,2016-2017,325.0,10.157142857142857,0.6,0.0
2017-05-15,2016-2017,269.0,14.62857142857143,13.7,0.0
2017-05-22,2016-2017,193.0,15.357142857142858,56.199999999999996,0.0
2017-05-29,2016-2017,124.0,16.192857142857143,16.3,0.0
2017-06-05,2016-2017,97.0,18.435714285714287,4.1,0.0
2017-06-12,2016-2017,57.0,22.228571428571428,5.0,0.0
2017-06-19,2016-2017,40.0,19.82857142857143,50.5,0.0
2017-06-26,2016-2017,34.0,19.557142857142857,20.6,0.0
2017-07-03,2016-2017,57.0,21.571428571428573,5.9,0.0
2017-07-10,2016-2017,25.0,21.7,11.0,0.0
2017-07-17,2016-2017,27.0,22.557142857142857,28.7,0.0
2017-07-24,2016-2017,25.0,21.12857142857143,7.699999999999999,0.0
2017-07-31,2016-2017,32.0,22.157142857142855,11.0,0.0
2017-08-07,2016-2017,19.0,20.914285714285715,0.2,0.0
2017-08-14,2016-2017,28.0,21.685714285714287,8.2,0.0
2017-08-21,2016-2017,18.0,18.97142857142857,0.4,0.0
